,Number of customer,dataset,time_min,sum_low,sum_upper,number truck,number drone,Woriking time,Truck cappacity (kg),Drone capacity (kg),Drone_speech,Truck_speech,Drone_duaration (min)
22,10,10.5.3,18.06950234,1450,2025,1,1,30,1500,40,1,0.666666667,30
23,10,10.5.4,16.8381892,1450,2000,1,1,30,1500,40,1,0.666666667,30
24,12,12.10.1,48.5686896,1475,2075,1,1,80,1500,40,1,0.666666667,30
25,12,12.10.2,37.38483775,1450,2000,1,1,80,1500,40,1,0.666666667,30
26,12,12.10.3,39.85486915,1450,2025,1,1,80,1500,40,1,0.666666667,30
27,12,12.10.4,42.98443418,1400,2025,1,1,80,1500,40,1,0.666666667,30
28,12,12.20.1,113.5414243,1525,1950,1,1,130,1500,40,1,0.666666667,30
29,12,12.20.2,123.1824304,1425,1925,1,1,130,1500,40,1,0.666666667,30
30,12,12.20.3,95.47492192,1525,2175,1,1,130,1500,40,1,0.666666667,30
31,12,12.20.4,91.91279325,1375,1925,1,1,130,1500,40,1,0.666666667,30
32,12,12.5.1,19.17525685,1450,2075,1,1,40,1500,40,1,0.666666667,30
33,12,12.5.2,23.90667861,1450,2050,1,1,40,1500,40,1,0.666666667,30
34,12,12.5.3,19.79598125,1300,1900,1,1,40,1500,40,1,0.666666667,30
35,12,12.5.4,28.44518077,1350,2000,1,1,40,1500,40,1,0.666666667,30
36,20,20.10.1,77.76966319,1325,2225,1,1,70,1500,40,1,0.666666667,30
37,20,20.10.2,66.25166978,1425,2425,1,1,70,1500,40,1,0.666666667,30
38,20,20.10.3,61.92735712,1375,2075,1,1,70,1500,40,1,0.666666667,30
39,20,20.10.4,69.68211221,1300,2200,1,1,70,1500,40,1,0.666666667,30
40,20,20.20.1,101.0849347,1400,2150,1,1,130,1500,40,1,0.666666667,30
41,20,20.20.2,133.9512254,1375,2250,1,1,130,1500,40,1,0.666666667,30
42,20,20.20.3,125.2459949,1450,2100,1,1,130,1500,40,1,0.666666667,30
43,20,20.20.4,119.1520927,1425,2150,1,1,130,1500,40,1,0.666666667,30
44,20,20.5.1,24.40182872,1350,2275,1,1,40,1500,40,1,0.666666667,30
45,20,20.5.2,33.05101143,1275,2250,1,1,40,1500,40,1,0.666666667,30
46,20,20.5.3,21.45849626,1350,2150,1,1,40,1500,40,1,0.666666667,30
47,20,20.5.4,23.63232267,1475,2450,1,1,40,1500,40,1,0.666666667,30
48,50,50.10.1,112.3902284,2450,4550,2,2,110,1500,40,1,0.666666667,30
49,50,50.10.2,109.2475452,2325,4725,2,2,110,1500,40,1,0.666666667,30
50,50,50.10.3,103.8620724,2400,5100,2,2,110,1500,40,1,0.666666667,30
51,50,50.10.4,109.8815062,2425,5050,2,2,110,1500,40,1,0.666666667,30
52,50,50.20.1,230.8949275,2700,4975,2,2,200,1500,40,1,0.666666667,30
53,50,50.20.2,196.2704856,2700,4750,2,2,200,1500,40,1,0.666666667,30
54,50,50.20.3,256.7023418,2750,5125,2,2,200,1500,40,1,0.666666667,30
55,50,50.20.4,216.3165656,2625,5000,2,2,200,1500,40,1,0.666666667,30
56,50,50.30.1,355.520921,2725,4700,2,2,300,1500,40,1,0.666666667,30
57,50,50.30.2,374.9050113,2500,4925,2,2,300,1500,40,1,0.666666667,30
58,50,50.30.3,411.318026,2275,4875,2,2,300,1500,40,1,0.666666667,30
59,50,50.30.4,344.2578873,2475,4800,2,2,300,1500,40,1,0.666666667,30
60,50,50.40.1,401.6992976,3850,6825,3,3,350,1500,40,1,0.666666667,30
61,50,50.40.2,479.3095568,4025,6625,3,3,350,1500,40,1,0.666666667,30
62,50,50.40.3,348.6671815,4050,6550,3,3,350,1500,40,1,0.666666667,30
63,50,50.40.4,370.8189024,4000,6825,3,3,350,1500,40,1,0.666666667,30
64,100,100.10.1,190.7720604,3475,8275,3,3,160,1500,40,1,0.666666667,30
65,100,100.10.2,188.6750438,3775,8575,3,3,160,1500,40,1,0.666666667,30
66,100,100.10.3,181.0116401,3850,9000,3,3,160,1500,40,1,0.666666667,30
67,100,100.10.4,160.6439387,3575,8075,3,3,160,1500,40,1,0.666666667,30
68,100,100.20.1,280.5776651,3400,8425,3,3,260,1500,40,1,0.666666667,30
69,100,100.20.2,329.2542886,3600,7725,3,3,260,1500,40,1,0.666666667,30
70,100,100.20.3,331.4590191,3775,7925,3,3,260,1500,40,1,0.666666667,30
71,100,100.20.4,333.468247,3800,8375,3,3,260,1500,40,1,0.666666667,30
72,100,100.30.1,510.6862202,4850,9725,4,4,390,1500,40,1,0.666666667,30
73,100,100.30.2,570.4464003,4550,9950,4,4,390,1500,40,1,0.666666667,30
74,100,100.30.3,550.7455943,5100,11250,4,4,390,1500,40,1,0.666666667,30
75,100,100.30.4,486.733265,5175,10175,4,4,390,1500,40,1,0.666666667,30
76,100,100.40.1,684.1348822,6775,12850,5,5,540,1500,40,1,0.666666667,30
77,100,100.40.2,815.5699154,7200,13075,5,5,540,1500,40,1,0.666666667,30
78,100,100.40.3,733.4784298,6825,13400,5,5,540,1500,40,1,0.666666667,30
79,100,100.40.4,647.5404572,6875,12750,5,5,540,1500,40,1,0.666666667,30
80,150,150.10.1,226.3813826,4100,13075,4,4,200,1500,40,1,0.666666667,30
81,150,150.10.2,230.2754734,4050,12850,4,4,200,1500,40,1,0.666666667,30
82,150,150.10.3,256.6215172,4250,12500,4,4,200,1500,40,1,0.666666667,30
83,150,150.10.4,211.3601167,4250,12850,4,4,200,1500,40,1,0.666666667,30
84,150,150.20.1,469.4075872,5625,14800,5,5,330,1500,40,1,0.666666667,30
85,150,150.20.2,478.9440731,6725,14700,5,5,330,1500,40,1,0.666666667,30
86,150,150.20.3,461.1903798,6100,14500,5,5,330,1500,40,1,0.666666667,30
87,150,150.20.4,455.2760423,6475,14950,5,5,330,1500,40,1,0.666666667,30
88,150,150.30.1,688.3040933,6500,14275,5,5,470,1500,40,1,0.666666667,30
89,150,150.30.2,721.1163075,6025,14200,5,5,470,1500,40,1,0.666666667,30
90,150,150.30.3,633.2608162,6175,14775,5,5,470,1500,40,1,0.666666667,30
91,150,150.30.4,594.8089977,6275,14150,5,5,470,1500,40,1,0.666666667,30
92,150,150.40.1,800.2099776,9050,21975,8,8,600,1500,40,1,0.666666667,30
93,150,150.40.2,813.7683649,9875,22100,8,8,600,1500,40,1,0.666666667,30
94,150,150.40.3,920.77514,10350,20975,8,8,600,1500,40,1,0.666666667,30
95,150,150.40.4,787.405661,10750,22000,8,8,600,1500,40,1,0.666666667,30
96,200,200.10.1,238.661401,5100,16925,5,5,250,1500,40,1,0.666666667,30
97,200,200.10.2,248.6347883,5500,17300,5,5,250,1500,40,1,0.666666667,30
98,200,200.10.3,270.5695088,6050,17550,5,5,250,1500,40,1,0.666666667,30
99,200,200.10.4,250.4051982,5300,17150,5,5,250,1500,40,1,0.666666667,30
100,200,200.20.1,576.2347195,6975,19025,6,6,380,1500,40,1,0.666666667,30
101,200,200.20.2,582.6824251,7475,18200,6,6,380,1500,40,1,0.666666667,30
102,200,200.20.3,534.9888111,6925,19675,6,6,380,1500,40,1,0.666666667,30
103,200,200.20.4,536.4929022,7125,17675,6,6,380,1500,40,1,0.666666667,30
104,200,200.30.1,798.7041175,8725,21850,7,7,550,1500,40,1,0.666666667,30
105,200,200.30.2,751.4361138,8325,22575,7,7,550,1500,40,1,0.666666667,30
106,200,200.30.3,888.8376667,8500,19375,7,7,550,1500,40,1,0.666666667,30
107,200,200.30.4,813.8752123,7950,22225,7,7,550,1500,40,1,0.666666667,30
108,200,200.40.1,1120.024653,12700,28175,10,10,600,1500,40,1,0.666666667,30
109,200,200.40.2,952.1255475,11425,27125,10,10,600,1500,40,1,0.666666667,30
110,200,200.40.3,1104.157049,11750,27850,10,10,600,1500,40,1,0.666666667,30
111,200,200.40.4,996.7187836,12100,27675,10,10,600,1500,40,1,0.666666667,30
